text,label,predicted_label
オペレーター: やはりー、動物園ですとー、12月から2月はー、あのー、やっぱりあの、時間が、あのー、あ、ヘーキュ、へ、祭日があのー、開園しますけどー、金曜日はお休みになってしまう<> [SEP] カスタマー: あー、やっぱり、お休みのところが、多くなってくるんですね。,0,1
オペレーター:そういった、もの、に近いような…、あの教会でございますよね。 [SEP] カスタマー:あっそうですねー。はい。,1,0
オペレーター: 吉本好きなんですか？ [SEP] カスタマー: あ、あのー、家族がみんなお笑いが<>。,0,1
オペレーター:では、こちらも行先に入れておきますか。 [SEP] カスタマー:はい。,1,0
オペレーター:あのー、パフェ？パフェとかに、あの、そうですね、アイスクリームも有名ですね。 [SEP] カスタマー:あ、そこ行きたいです。,1,0
オペレーター:あ、そうなんですね。 [SEP] カスタマー:沖縄の、あ、はい。,1,0
オペレーター: えっと、あ、そうですね。ちょっとじゃああの、お子様向けでもう一度検索してみますね。 [SEP] カスタマー: あんまり大人っぽすぎる雰囲気だとちょっと浮いちゃうかなと思って。,0,1
オペレーター:<>出てきてるんですけれどもー、一応、ミナミのベイエリアっていうところが、この通天閣の近くなんですけれども、あのー、和食であったり洋食であったり、何かありますか、ご指定は。 [SEP] カスタマー:あー、そうです、たこ焼きとかなんかそういう、あのー。,1,0
オペレーター: えーえー。 [SEP] カスタマー: なんかでも、そーそ、どこで食べられるんだ、みたいな話を、昨日もしてたんですけど。,0,1
オペレーター: かしこまりました、では何名様でのご旅行となりますか？ [SEP] カスタマー: あ、4名となります。,0,1
オペレーター: 結構、興味惹かれるような内容かなー、と思いますー。 [SEP] カスタマー: はい、はい、はい。あのー。ちょっと、と、是非、探検気分で…、はい。行ってみたいもんですね。はい。,0,1
オペレーター:あっ全身がいいです。 [SEP] カスタマー:あっ全身がいいです。,1,0
オペレーター: ええー、ではですねえ、お客様、例えば、沖縄の本島のすぐ横にあるような島、橋でつながっているような島、そういったものもございますし、あとですねー、あのー海沿いにビーチパラソルがたーくさん並んでいるようなビーチもございますしー、<>もっと手軽にですねー、ものあの那覇の市内ですね、なんかあのー、ビーチの向こう側に、あのー道路のはしが見えるような<>、ちょっとあのー、ビーチの向こうに道路のはしが見えるのは、なんか<> [SEP] カスタマー: ええー。,0,1
オペレーター: とんこつラーメンとかー、あの [SEP] カスタマー: あ、そのひとつの施設内、にー、いろんな店舗があってー、<>中で食べる…,0,1
オペレーター:少々お待ちください。 [SEP] カスタマー:なんか夕飯…夕飯を<>,1,0
オペレーター:なんかこう、あんまりこう、大きな、お店というよりはちょっとこう…、地元～、の人が行くようなちょっと小さめのー…、店が良いという<>。 [SEP] カスタマー:はい。あのー、観光客とかが、で密集してないー。,1,0
オペレーター:ではー、お客様、どうでしょう。あの、さっきの出津教会の方が良いですよね。 [SEP] カスタマー:そうですねー、はい。はい。,1,0
オペレーター:ではカトリック大野教会の方を、追加致しますねー。 [SEP] カスタマー:はい。,1,0
オペレーター:えっと、和風な感じと―、あの洋風な感じ、プールみたいなんもあるのと、どちらがよろしいですかねー。 [SEP] カスタマー:和風な感じがいいです。,1,0
オペレーター: はい。 [SEP] カスタマー: なんか、あのー、アスレチックみたいな、子どもが遊ぶものもありますか。,0,1
