text,label,predicted_label
オペレーター: 例えば蟹ってお好きですか？ [SEP] カスタマー: エビも蟹も、はい。,0,1
オペレーター:はい。じゃ、こちら、なかむらさんは、じゃ、ちょっと外しておきますね、じゃあ。 [SEP] カスタマー:あ、はい、すいません。,1,0
オペレーター:はい。 [SEP] カスタマー:だったら煮込みとか、あったほうがいいですもんね、はい。,1,0
オペレーター: かしこまりました、では何名様でのご旅行となりますか？ [SEP] カスタマー: あ、4名となります。,0,1
オペレーター:あ、なんかとんかつ専門店とかもありますね。 [SEP] カスタマー:あ、じゃあそっちでちょっと、はい。,1,0
オペレーター: ちょっとお店の写真はないのでなんとも言えないんですけど、まぁ七輪囲んでわいわい楽しめるなので、まもしかしたらみんなでこうカウンターで、まぁわいわいできる。 [SEP] カスタマー: なるほどなるほど、へー、その北えびすですか？ここはなんか特色みたいなのはあるんですか？,0,1
オペレーター:あ、そうなんですね。 [SEP] カスタマー:沖縄の、あ、はい。,1,0
オペレーター:あっ全身がいいです。 [SEP] カスタマー:あっ全身がいいです。,1,0
オペレーター: ちょっと、どんなのがいいですかね。 [SEP] カスタマー: なんか北海道らしいみたいなのってありました？,0,1
オペレーター: はい、では、お客様そろそろお腹が空いてくるお時間かと思うんですけれども、ええ、お食事の方いかがいたしましょうか？ [SEP] カスタマー: 食事ついてますか？,0,1
オペレーター:なんかこう、あんまりこう、大きな、お店というよりはちょっとこう…、地元～、の人が行くようなちょっと小さめのー…、店が良いという<>。 [SEP] カスタマー:はい。あのー、観光客とかが、で密集してないー。,1,0
オペレーター:締めのような感じでー、いへっへっ、ご談義の後、ちょうど、楽しいかなー、という風に思いました。 [SEP] カスタマー:良いです、良いですねー、ええ、ええ、ええ。,1,0
オペレーター: いえいえいえ。 [SEP] カスタマー: はい、えーっとそうですね、あ、お客様結構お酒とかも飲まれる感じ…ですかね？,0,1
オペレーター:ではこちら平田観光と言いますので、こちらをリストに加えておきますね。 [SEP] カスタマー:はい。,1,0
オペレーター:はい、そちらもご案内いたしましょうか？ [SEP] カスタマー:あ、はい、お願いします。,1,0
オペレーター: ああ、ええ、ええ。 [SEP] カスタマー: そういうのが、なんか、こう、たくさん集まっているようなお店ってありますか？,0,1
