operator_utterance,spot_requirement_utterance
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: 北海道に旅行がしたいんですけれども。
オペレーター: 出発されるお日にちは、出発される季節はいつ頃になりますか？,カスタマー: 夏頃に予定しています。
オペレーター: お客さま、北海道で、何かどこかに行きたいですとか、食べたいですとか、そういったご要望はございますか？,カスタマー: カニとかが好きなので、カニがおいしいお店に行きたいです。
オペレーター: あとですね、カニの他にもですね、北海道ですと大変、魚介類が豊富ですので、カニを堪能しつつ他の料理も食べたいとか、そういったご要望はございますか？,カスタマー: 他の海鮮料理も楽しみたいです。
オペレーター: そうしますとですね、例えばなんですけれども、二条市場大磯というお店がございまして、こちらがですね、こちらですと例えば、イクラ、サーモン、ウニとかですね、北海道ならではの海鮮料理がございまして、こういったお店もございますが、お客さま、どうでしょうかね？,カスタマー: イクラとかも結構好きなので気になります。
オペレーター: あとですね、他になんか、観光してみたい場所ですとか、そういったご要望はございますか？,カスタマー: なんか絶景が楽しめる場所に行ってみたいです。
オペレーター: 夏で絶景ですので、そうですね、大自然をということで、何か、具体的なご要望とかございますか？,カスタマー: 動物とかがいるような。
オペレーター: かしこま…。,カスタマー: 雄大な。
オペレーター: あとですね、他に何か見てみたいですとか、食べたいものとか、ご要望はございますか？,カスタマー: あと夜景が楽しめる場所だとかに行ってみたいです。
オペレーター: 大丈夫です。,カスタマー: とー、ヒマワリとかを見に行きたいんですけれども。
オペレーター: あと、お客さまのほうで何かあと、買いたいものですとか、他にご要望はございますか？,カスタマー: ラーメンとか。
オペレーター: 今回何がしたいとか、どこか行きたいとか、そういったものが決まってれば教えてください。,カスタマー: 食～メインで、食べ歩きみたいな感じで、回れたら良いなって…。
オペレーター: 食べ歩き…。,カスタマー: で、メニューとしては、ガッツリ系の肉料理とかが好きなんでー。特に、もしー、その牛肉～系の、ステーキとかすき焼きじゃないですけどー。そういう肉料理とか、あとは、牛を使ってるけど珍しいB級グルメとか。そういう所をー、おっきなー通りとかで、食べ歩きーみたいなのが出来たりとかー。場合によってはちょっと車借りて遠出して、美味しそうなステーキレストラン行くみたいな、そういうのが、出来るような、場所とか県とかがあれば、行ってみたいのかなーって思って<>。
オペレーター: じゃあ具体的なその、場所～…、を、地域を絞りたい…。って感じですかね。,カスタマー: っそーですねー。有名な、本当に。松坂牛で絞っちゃってもう三重とかそっちの方に行くってのもある、あるかもしんないですしー。関東在住なんでー、近い所とかでも、もし調べてもらって、近いとこで、結構肉料理多い、場所ありますよってのを教えてもらえたらー、そういうとこだったら。すぐ行けるのかなーって<>すけどー…。
オペレーター: 牛肉…。和食洋食とかは特にこだわりなくってかた…、ちですかね…。,カスタマー: 一応、洋ですかね、最初は洋で…、メインで…。調べてもらって、出てこなそうだった時は和とかにスライドしてもらったらな…<>…すけどー。
オペレーター: …ほしいの…なっていう。そうーですねー。,カスタマー: でもあんまり、東京とかだと観光っぽい要素がないんでー。例えば北関東の方だったりとか、あとさ、埼玉でも良いんですけどー。足を運ぶようなとこですかね。
オペレーター: 栃木だと…。,カスタマー: 南だったら神奈川の方だったりとか静岡～<>。
オペレーター: お値段。,カスタマー: ケチるつもりはないんですけどー。
オペレーター: 行く日程…、行く曜日とかは、平日とか、週末とか。決まってます…。,カスタマー: でも、週末～、にプラっと行こうかなー、とか思ってたんですけどー。
オペレーター: か、かなり柔らかい、箸が…、スッっと通るぐらい。,カスタマー: そう。一っ品の、そういうとんがったメニューやってますー、みたいなお店も、行ってみたい。いろいろ<>良いと思うんですけどー。
オペレーター: お肉が出て、今もう出てこなかったので、食べ歩き、日光、日光、以外で。,カスタマー: そうですね。逆方面の、さっ、今～…、北関東ってお伝えしたんでー。神奈川の方だったりとかー、静岡っぽい所でー…、海のある県の方とか。でもしー、また肉料理が、そういうスパッと出てくれば…、そっちもちょっと興味ありますけどー。
オペレーター: お酒、ぜん、ごはん、食べ物だけっていうことですよね。,カスタマー: そうですねー。ご飯とー、お肉で、食べれれば良いかな。
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: 夏にー、一応7月の末ぐらいから8月かけてなんですけど、友達と、あの和歌山に行こうと思ってまして。それは1つは、仕事の用事でも行くんですけど、でも結構、自由時間とか前後の時間で、観光したいなと、フフ、いうことで、い、行ったこともない場所なんで、どんな、スポットがあるのかとか、そういうのをすごいフフ、初歩的なとこを今日は知りたいなと思いまして。
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,カスタマー: 九州が行ったことが無くて、今度卒業旅行みたいな感じで行きたいなって思っているので、どういった所が良いかなっていうのをお聞きしたいです。
オペレーター: かしこまりました。お客様卒業旅行となりますと、春頃に行かれるんですかね？,カスタマー: 3月…ぐらいを予定してます。
オペレーター: 3月くらいで。何名様…の予定ですか？,カスタマー: 一応3人くらいの予定があります。
オペレーター: お客様、九州なんですけれども、例えば九州のどのあたりとかそういったご要望はございますか？,カスタマー: 1回も行ったことがないので、福岡はまず行ってみたいっていうのと、あとは隣接してる長崎であったり、大分であったり、そういった<>良いかなっていう思いはあります。
オペレーター: 福岡市内で…例えば…何か食べたい物とかそういったご要望はありますか？,カスタマー: 結構有名なのが。めんた、明太子とかもつ鍋とか。
オペレーター: そうですよね。,カスタマー: 特にもつ鍋とかは有名なんですけど、ゆう、お店とかでオススメとかがあれば、教えてほしいですね。
オペレーター: こちらもそうですね、夕方5時からの営業となっておりますね。,カスタマー: じゃあ逆にお昼頃とかに、博多ラーメン、ラーメンが結構好きなんで、そういう。
オペレーター: おっしゃってましたね。,カスタマー: <>。食べれるお店とかがあれば、お土産とかでもいいんですけど。
オペレーター: せっかくですので、今お調べいたしまーす。,カスタマー: <>のところを、気になるので調べていただけると、
オペレーター: こちら最寄りの駅が出島…という出島え、駅ですね。となっておりますね、あと何か食べたいものとかご要望ございますか？,カスタマー: やっぱ長崎だと。長崎ちゃんぽんと、佐世保バーガーは知ってるんですけど。それで有名なとこでも良いですし、他に長崎と言えばみたいな物があれば教えてほしいです。
オペレーター: よろしければこちらで食べていただくのも良いかなと思います。,カスタマー: 1つすいません。聞きたいんですけど。
オペレーター: こちらがですね、すいません、今ただいま調べたんですけれども、具体的なお酒…の品種がですね、すいませんこちらの方で出てこなくてですね。,カスタマー: 多分焼酎とかが有名だと思うんですけど。
オペレーター: じゃ、もうちょ、ただいまお調べいたします、少々お待ちください。,カスタマー: もしかしたら下の熊本とか鹿児島の。
オペレーター: さようですか。,カスタマー: 薩摩の方の方が。
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: 沖縄県に。1日、1日使って。1人で、旅行に行こうかなと思ってます。
オペレーター: 行かれる時期はお決まりでしょうか？,カスタマー: やっぱり夏頃を考えてます。
オペレーター: そういったご要望はございますか。,カスタマー: やっぱり有名どころでいうと、水族館。とか、あと首里城とか。やっぱメジャーなところに行ってみないな、みたいなと思ってまして。
オペレーター: 他にもご要望がございますか。,カスタマー: 水族館なければ動物が好きなので、動物園ってありますか？
オペレーター: 他にですね、沖縄県で何か見てみたいですとか食べてみたいですとか、買いたいものとか、そういったご要望はございますか？,カスタマー: もう帰る時に有名なお土産は。見て買って帰ろうかなあとは思ってます。
オペレーター: 何か、召し上がりたいものとか、何かご案内いたしましょうか？,カスタマー: 有名どころで何か食べて。
オペレーター: お客さまのほうで、他に、沖縄県で何か、見てみたいですとか、他にもご要望ございませんか？,カスタマー: 水族館行って、お城行って、そうですね、まあ。自然のきれいな海とか見れたらいいかなと思います。
オペレーター: 他にも、ご要望ございますか？,カスタマー: さっき夜景が、き、きれいってとこが出てきたんで。何か他に夜景がきれいなところってありましたかね？
オペレーター: あと他に何か、ご要望とかありますか。,カスタマー: <>も決まって、行くところも決まって、夜ご飯食べて、夜景も見れて帰るんで。あと、お土産を買って帰れるんで、もう完璧かなと思います。
オペレーター: 今回ご旅行の、ご希望とかー、行きたい場所なんていうのは決まっていますでしょうか？,カスタマー: 友人と石川県へ行きたい。
オペレーター: 季節的にはー、は、春とか夏とか、何か。,カスタマー: <>、3月ぐらい。
オペレーター: 石川県ではー、何をなさりたいですか？,カスタマー: 白山て、あのおっきな山、分かりますか？
オペレーター: 少々お待ちください。,カスタマー: あそこの近くに行きたい、ですけどね。
オペレーター: 食べたいものとか、ありますか？,カスタマー: できれば、3月だからー、ちょっとあっちの方、寒いーので、寒いと思うんですよね。
オペレーター: はい。,カスタマー: こっちより。東京より。鍋もんとか、ラーメンとかは、ない？ラーメンと…。
オペレーター: ラーメンでございますか？,カスタマー: ラーメンないよね、多分ね、そっちの。
オペレーター: お酒はお好きですか？,カスタマー: お酒飲めないんだけども、お米…
オペレーター: あとはーやっぱりお芋を使ったお料理、お菓子であったりとかー、あとーこれは、,カスタマー: できればなんか、はく、博物館とか美術館とか、ある、あるー、ある<>。
オペレーター: そういったところ、見たいですか？,カスタマー: そうですね。
オペレーター: 面白そうですよね。,カスタマー: 行くんだったらそういうとこー、ない、ところ行きたい。
オペレーター: 一応さっき仰られてたんですけど、動物園はいくつかありまして、カピバラとか見たければカピバラがいる動物園があるんですけど。,カスタマー: 行くんだったらね。
オペレーター: あとは特に何か、見たいとか、あとは買いたいとかっていうのは、ございますか？,カスタマー: 一応あればいーんですけど、絵？絵画、とかって、絵画、美術館とか美術…ある？あるんだったら。
オペレーター: はい。,カスタマー: え、絵の、絵の、絵の美術展…。
オペレーター: では、今回の、ご旅行、お決まりの範囲、具体的に教えていただきたいんですけども。,カスタマー: そうですね。ちょっと疲れを取りたいんで、源泉掛け流しのお湯に漬かれる温泉がいいなあと思ってるんですけけれど。
オペレーター: 温泉ですね。,カスタマー: どこでもいいんです。
オペレーター: いつ頃。,カスタマー: 冬とかが乙かもしれない。
オペレーター: どうしましょう、北か南か、お選びいただくと、もうちょっと絞れるかなって。,カスタマー: では、南がいいですかね。
オペレーター: どうしましょっか。,カスタマー: できれば、海の、に、ぎりぎり迫ってるとか、ありますよね、よくテレビで。そういう。川でもいいんですけど。
オペレーター: 山に近いは今すぐ出てきてたんですけど。,カスタマー: 山でもいいですが。
オペレーター: 貸切風呂っていうものがあるんですけども、お連れさまなどいらっしゃいますか？,カスタマー: 妻と行こうと思ってる。
オペレーター: 貸切、例えば貸切がいいとかっていうのは、こだわりは特に、な、ないですか？,カスタマー: 貸切のほうが、うれしいことはうれしいですね。
オペレーター: えー、竹林と今、海沿いというか水辺のそば、ご案内させていただいたんですけど、竹林よりは水辺のほうがいいですか、やはり。,カスタマー: そうですね。竹林は、いいですかね。フッフッフッ。
オペレーター: はい。,カスタマー: ウナギも食べてみたいなと、今、急に思って。
