previous_operator_utterance,current_utterance
オペレーター: で、春が、あの新緑が美しいと書かれております。,カスタマー: ああ、はい。
オペレーター: ああ、クルーズ！,カスタマー: はい。
オペレーター: で、豊かな生態系を育む釧路川では、えー、オシドリなどのみず...えー、水鳥、ウチダザリガニ、珍しい川魚に出会えることもあります。,カスタマー: で、カガミヌマでは川の流れがなく、水面が鏡のように、えー、周辺の緑を鮮やかにうつし、うつしだしている、すごいきれいなスポットもあるということです。
オペレーター: などいくつかー、まあ種類があるんですけどー。,カスタマー: うーん。
オペレーター: 温泉は―好きですか？,カスタマー: 温泉好きです。
オペレーター: はい。,カスタマー: で、こちらがー、あのー、えーとですね、じゅ…。こちらのビルの10階にー。
オペレーター: こちらあの、はい、インターチェンジ、許田というインターチェンジがございまして、そこから30分程度の距離でございますので。,カスタマー: はい、あまりあのご心配なさらずにいただければなと思います。
オペレーター: そうですね、ええ。,カスタマー: まあそれ以外にもですね、もう一か所ありましてー。
オペレーター: はい。,カスタマー: あ、出てまいりました。
オペレーター: ふんふんふん。,カスタマー: はい、わかりました。
オペレーター: あとはま大阪らしい物なんか食べたいなとか、あはは、考えてます、はい。,カスタマー: はい、あ、はあ、食べて見てって感じで、はい。
オペレーター: なんか赤とか白とかこうなんかあれですか、こう有名、なんだろ、人気のあるのってわかるんですか、あるんすかなんか、そこは<>。,カスタマー: それが、載ってなくてですね、た、写真もちょっと載ってないので。
オペレーター: ま、池、というか、のような場所で、この大きな池は、えと、応永34年、1427年に、えと、中国の使節をあの、歓待するために作られた池となっております。,カスタマー: ほぉおーん。
オペレーター: だったら煮込みとか、あったほうがいいですもんね、はい。,カスタマー: で、そうですね。
オペレーター: 牡蠣は冬ですよね。,カスタマー: はいー。
オペレーター: はい。,カスタマー: あ、はい。今お調べ致しますのでお待ちください。
オペレーター: 初夏、ま6月以降であれば。,カスタマー: でこちらあの、もほんとに、自然のあの温泉なので。
オペレーター: はい。,カスタマー: おそばですね。
オペレーター: 最初にネイチャーガイドの、んー人が付くの、お話あったじゃないですか。,カスタマー: はい。
オペレーター: うーん。,カスタマー: はい。あとですねあのーお客様、あのー青森県で何か他に見てみたいですとか、食べてみたいですとか、そういったご要望はございますか？
オペレーター: ええ、ええ、ええ。,カスタマー: ま、ま、やっぱり女性にもおすすめ、で、雨でも大丈夫ってゆう<>ね。
オペレーター: ゴーヤとかは、食べれ、ますか？,カスタマー: はい、ゴーヤは大丈夫です。
オペレーター: うーん、まあ、あまりないかもしれないですね。,カスタマー: アハッ。
オペレーター: あー、なるほど。,カスタマー: こちらだと、まあ。
オペレーター: 和楽庵と、和楽庵というお店でございます。,カスタマー: え？
オペレーター: はい、かしこまりました。,カスタマー: では、こちらが、えーと、薩摩黒豚とんかつ専門店黒かつ亭。
オペレーター: ええ、ええ、それではいくつか紹介させていただきます。,カスタマー: はい。
オペレーター: それ、何がさわ、何が触わるの？,カスタマー: 動物。
オペレーター: はい。,カスタマー: ああ、ああ
オペレーター: ま、大体いつでも行ける。,カスタマー: うん。
オペレーター: うんうんうん。,カスタマー: はい。
オペレーター: はい。,カスタマー: で、ハチイチイチ
オペレーター: アハッ。,カスタマー: フ、フッフッフ。うん。た...。
オペレーター: じゃあ一応、今のえっと。,カスタマー: ご案内したかちょっとごめんなさい。
オペレーター: はい。,カスタマー: じゃ、お土産は何かどういったジャンルがいいとか、って何かご希望ございますか？
オペレーター: はい、是非行かれてみてください。,カスタマー: はい。
オペレーター: はい、はい、あと他にですね、えーっと例えば…。,カスタマー: えーとですね…はち、八戸名物そばかっけという料理がございまして、はい、こちらがですね、そばを切った時に出る三角形のかけらのことでございまして、出し汁で湯がいてネギ味噌で漬けて食べる、そういったお料理もございます。
オペレーター: ええ,カスタマー: あのー、例えばなんですけれどもー
オペレーター: あー、なるほど。,カスタマー: うん。
オペレーター: 場所が、これなんて読むんだろう、ミネ、ミネノベ？,カスタマー: ミネノベ。
オペレーター: はい。,カスタマー: 危ないという理由で昼だけにしてると思うんですけど。
オペレーター: ええ。それー、もし、あの、ちょっと今、場所出てきてないくて、あれなんですけども。公民館のほうを行ければ立ち寄ってみるというかたちで、いかがでしょうか。,カスタマー: ああ、はい。
オペレーター: こんにちは。,カスタマー: こんにちは。
オペレーター: ええ、ええ。,カスタマー: あー、なるほど。屋内の施設は、じゃ、あんまり。
オペレーター: んーで、ちょっと一緒に行く者の中でですね、ちょっと希望してるのが、あの。,カスタマー: はい。
オペレーター: はい。,カスタマー: そうですね。
オペレーター: そしたら、ねえ、なんか、それぞれ選べるってことですよね。,カスタマー: そうですね。候補に入れておきますか。
オペレーター: そう…。見たり…。,カスタマー: 遊ぶっていうよりは。
オペレーター: はい。,カスタマー: はい。
オペレーター: 喜屋武岬。はい。,カスタマー: はい。こちらがですね、あのー、沖縄本島最南端に位置してございます。はい。
オペレーター: 木材とかを運搬する運河としてですねー、設けられた所でして。,カスタマー: 明治の頃からもう既に船下りが人気だったようです。
オペレーター: はい。,カスタマー: 全然飲まなくても楽しめると思うんで。
オペレーター: でまぁ夏と言ってたので。,カスタマー: うんうん。
オペレーター: そこも候補にお願いします。,カスタマー: はい。かしこまりました。
オペレーター: はい。,カスタマー: えーっとですねこちらがですね、はい。えーとですねすいません、あのーですね、今ただいま調べたんですけれども、ちょっと具体的なお酒…の品種がですね、ちょっとすいませんこちらの方で出てこなくてですね。
オペレーター: へー。はい。,カスタマー: あのもう、ご主人が三代目？三代目…。
オペレーター: あー。はい。,カスタマー: ま、夏なので、ちょっとイチゴが終わってしまっているんですけれども。
オペレーター: うんうん。,カスタマー: 一応チェックだけ入れときますか？
オペレーター: では、えーと、ラーメン屋こちら、味噌ラーメンのよし乃アピア店でいただくということですね。,カスタマー: はい。
オペレーター: 結構いいお値段ですね。へへ。,カスタマー: そうですね。あの本当テーマパークですね。
オペレーター: はい。,カスタマー: はい。
オペレーター: で、こちらですね、あの、朝10時から開いておりまして、年中無休ですので、はい、あのー、お時間等もあまり気にせずですね、あのー、朝市ご覧になった後にすぐお召し上がりになれるかと思います。,カスタマー: はい。
オペレーター: ふーん。,カスタマー: はい。あと、なにか。そうですね、お菓子…お菓子ですと、例えば、和歌山市観光土産センターさん。
オペレーター: はい,カスタマー: はいあの、是非、あのー
オペレーター: えーと、まずはそのメニューの量というか、どういうボリュームとかが分かりづらいというか、ちょっとイメージしづらいというのがあって。,カスタマー: ええ。ええ。ええ、ええ。あ、ええ、ええ。ええ。
オペレーター: お客様、東北方面なんですけれども。,カスタマー: はい。
オペレーター: うん。,カスタマー: あの、パークゴルフとか。
オペレーター: で、わ、えーと。,カスタマー: まず、最初に富山と出てきたので。
オペレーター: あー、そうかもしれない…。,カスタマー: 一応なんか泡盛のお店でしたりとかー…、泡盛とかってお飲みになられますかー？
オペレーター: お食事が。,カスタマー: ある、あって。
オペレーター: うん。,カスタマー: はい、なかなかいいかと思うんですけれども、はい。
オペレーター: あーまあ食べるとしたらもう夜ですよね。,カスタマー: その泊まる時にまあそのなんだろう、車停めてからちょっと歩いていけるみたいなとこだったらいいですね。
オペレーター: ま、しゅく、あっと、これ中国地方だ、<>すいません、少々お待ちください。,カスタマー: はい、えーとですねー
オペレーター: へー。,カスタマー: 洋ランの産地っていうことで、ランとか、あの、ご興味あれば、なん、なんか見に行くと楽しいんじゃないかなって思うんですけども、いかがですか？
オペレーター: はい。,カスタマー: そうですね、こちらですね、小田原、やはり鮮魚のお店は多いんですけれども。
オペレーター: じゃあちょっと、えー、ショッピングスポットを検索させていただきますね。,カスタマー: お願いします。
オペレーター: 時間、営業時間のほうが、たぶん二つ目の方が、結構長かった、お昼の時間帯って長かったですよね？,カスタマー: あー、そうですね。朝からやってるんで、もう、朝ごはんとして食べることもできるかと思いますね。
オペレーター: うん、うん、へえー。,カスタマー: ちょっとそういった写真は載ってないんですけど、おそらくそういう、あのまあ、ライブも楽しめるみたいな、お店みたいですね。
オペレーター: ええ、あの、ちょっとすいませんが、申し訳ないんですけれどもー。あの、主に観光地で、はい、でお願いしたいんですけれども。,カスタマー: あ、いえいえ。うんー。
オペレーター: ああー、いいですね、はい。,カスタマー: 一応今、ふたつご紹介したところが、まあ割と、そのー、良いお店、というか。
オペレーター: あー。,カスタマー: はい、あったりですね、まあ、先ほど申し上げました貸し切りの露天風呂があったり
オペレーター: あー、少々お待ちくださーい。,カスタマー: えーとー、フランス料理で、えーと。
オペレーター: あ、ええ、あのー。,カスタマー: はい。
オペレーター: はい。,カスタマー: そうですね、神社も結構ございまして、お客様お寺の方をご希望ということですよね、神社ではなくて。
オペレーター: はい。,カスタマー: んー、でも、おそばとかは入っているのでー。あの、焼きそばが入っ…挟まった感じのものですね。
オペレーター: はい。,カスタマー: そこ中心に、あのー、いろいろ観光地、お調べしていこうと思うんですけども。
オペレーター: これやっぱ予約が必要でしょうねたぶん、<>。,カスタマー: 予や…くは書い…てないですね。<>。
オペレーター: あー、そうですか。,カスタマー: はい。
オペレーター: よろしいでしょうか？,カスタマー: あ、はい、わかりましたー。
オペレーター: はい、釣り堀があると書かれてますね。<>。,カスタマー: そのー、あ、その行く時期、夏は、その果物狩りは、こう、サクランボっていうことなんですよね？きっと。季節によって。そうですか。
