previous_operator_utterance,current_utterance
オペレーター: お客さま、どのようなご旅行をお考えでしょうか？,カスタマー: とー、北海道に旅行がしたいんですけれども。
オペレーター: 出発されるお日にちは、あ、出発される季節はいつ頃になりますか？,カスタマー: とー、夏頃に予定しています。
オペレーター: はい。,カスタマー: カニとかが好きなので、カニがおいしいお店に行きたいです。
オペレーター: そうですね、あとですね、カニの他にもですね、あのー、北海道ですと大変、あの、魚介類が豊富ですので、カニを堪能しつつ他の料理も食べたいとか、そういったご要望はございますか？,カスタマー: そうですね。あ、他の海鮮料理も楽しみたいです。
オペレーター: はい。,カスタマー: あのー、イクラとかも結構好きなので気になります。
オペレーター: あとですね、あのー、他になんか、あのー、観光してみたい場所ですとか、そういったご要望はございますか？,カスタマー: とー、なんか絶景が楽しめる場所に行ってみたいです。
オペレーター: はい。,カスタマー: 動物とかがいるような。
オペレーター: あ、かしこま…。,カスタマー: もう、雄大な。うん。
オペレーター: はい。あとですね、あの、他に何か見てみたいですとか、あの、食べたいものとか、ご要望はございますか？,カスタマー: あと夜景が楽しめる場所だとかに行ってみたいです。
オペレーター: あ、はい。大丈夫です。はい。,カスタマー: とー、ヒマワリとかを見に行きたいんですけれども。
オペレーター: あと、そうですね、お客さまのほうで何かあと、あの、買いたいものですとか、他にご要望はございますか？,カスタマー: とー、ラーメンとか。
オペレーター: 本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行をお考えでしょうか？,カスタマー: あ、はい、えっとですね、夏にー、あのー、一応7月の末ぐらいから8月かけてなんですけど、ちょっと友達と、あのー、あの和歌山に行こうと思ってまして。
オペレーター: はい。,カスタマー: でー、まあちょっとそれは1つは、あの、仕事の用事でも行くんですけど、でも結構、自由時間とか前後の時間で、まあ観光したいなと、フフ、いうことで、はい。
オペレーター: あ、はい、はい。,カスタマー: でー、じゃ、ちょっと、い、行ったこともない場所なんで、ちょっとどんな、こうスポットがあるのかとか、そういうのをすごいあのー、フフ、初歩的なとこを今日は知りたいなと思いまして。はい。
オペレーター: はい、本日はご利用いただきまして、ありがとうございます。お客様、どのようなご旅行を希望でしょうか？,カスタマー: そうですね、ちょっと九州が行ったことが無くて、ちょっと今度卒業旅行みたいな感じで行きたいなって思っているので、ちょっとどういった所が良いかなっていうのをお聞きしたいです。
オペレーター: はい、はい、えぇえぇ、はい、はい、はい、あっかしこまりました。はい、お客様卒業旅行となりますと、あのー春頃に行かれるんですかね？,カスタマー: そうですね、3月…ぐらいを予定してます。
オペレーター: はい。3月くらいで。はい、何名様…の予定ですか？,カスタマー: 一応3人くらいの予定があります。はい。
